Fond des Roissis (sentier du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Fontaine (rue de la)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Fontenay (rue de) - du 1 au 3,	Lundi et vendredi matin,	Jeudi matin,	Lundi matin	,	Secteur B	,	Secteur 4
Fontenay (rue de) - du 10 au 91,	Lundi et vendredi soir,	Jeudi soir,	Lundi matin	,	Secteur B	,	Secteur 4
Fontenay (sentier de)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Fontenay (square de)	,	Lundi et vendredi soir	,	Jeudi soir	,	lundi matin	,	Secteur B	,	Secteur 4
Fort (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Fosse Bazin (chemin de la)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Fougères (rue des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Fournier (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Framboisiers (allée des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Franck (passage)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Francois Desprez (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 4
François Étienne (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Françoise Barré-Sinoussi (rue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Frédéric Mistral (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Frères Vigouroux (boulevard des)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Gabriel Péri (rue)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Gabrielle (rue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 1
Gaité (rue de la)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Galilée (avenue)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Galvents (impasse des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Galvents (rue des)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur B	,	Secteur 4
Gambetta (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Gambrinus (allée)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Gamets (allée des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Garde (place du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 2
Gare (place de la)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Gare (villa de la)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Garenne (route de la)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Garrements (allée des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Garrements (rue des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Gascogne (rue de)	,	Lundi vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Gaston (impasse)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Gaston Dupouy (allée)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 3
Gathelot (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Général de Gaulle (avenue du) - côté pair du n°2 au 442 et côté impair du n°1 au 453,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	, Secteur 4
Général de Gaulle (avenue du) - côté pair du n°446 au 546 et côté impair du n° 455 au 551,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	, Secteur 3
Général Eisenhower (rue du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Général Leclerc (rond point du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Général Négrier (rue du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Georges Huguet (rue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur D	,	Secteur 2
Ginette (villa)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Grand Cedre (allée du)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Groseilliers (allée des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Groux (impasse des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Groux (rue des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 1
Guet (rue du)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 1
Gymnase (passage du)	,	Borne enterrée	,	Borne enterrée	,	Lundi matin	,	Borne enterrée	,	Secteur 4
Gymnase (3 passage du)	,	Lundi, mercredi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 4
Impasse H. Et F. Oellers	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Hameau (impasse du)	,	Lundi et vendredi soir	,	Jeudi soir	,	Lundi matin	,	Secteur D	,	Secteur 3
Hauts Jardins (impasse des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 4
Hauts Jardins (mail des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur B	,	Secteur 4
Hauts Montrous (sentier des)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
Hebert (rue)	,	Lundi, mercredi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur A	,	Secteur 2
Henri Barbusse (avenue)	,	Lundi et vendredi matin	,	Jeudi matin	,	Lundi matin	,	Secteur C	,	Secteur 2
