n°6 (école Joliot Curie)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Jean Moreas (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Jean Richepin (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Jeanne d’Arc (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Jeanne Hachette (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Jean-Pierre Timbaud (rue)					
"n°1, 2, 4, 6, 8 et 10"	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
du n°14 au n°36 (côté pair)	Lundi et vendredi matin	Mardi matin	Jeudii matin	Secteur B	Secteur 1
du n°21 au n°37 (côté impair)	Lundi et vendredi matin	Mardi matin	Jeudii matin	Secteur B	Secteur 1
José Maria de Heredia (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Jules Vedrines (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Kleber (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"n°20, 22, 24, 30"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Lasègue (impasse)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Lasègue (passage)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Lasègue (rue)					
du n°1 au n°21 (côté impair)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
du n°2 au n°14 (côté pair)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
du n°20 au n°160 (côté pair)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
du n°31 au n°151 (côté impair)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Leconte de Lisle (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Le Mesnil (villa)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Lecaillon (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Léonard Mafrand (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Libération (place de la)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Liberté (impasse)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Liberté (boulevard de la)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
"n°16, 17, 18, 34, 40, 42, 46"	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Lilas (rue des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Louis Blériot (allée)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Louise Auvry (villa)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 3
Louveau (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Lucien Sampaix (rue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
n°45 et n°47	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 1
"Madeleine (passage)
Présentation rue des Fauvettes"	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Madeleine (villa)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Mairie (rue de la)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Malakoff (rue de)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
"n°4, 34 (multi-accueil Le Petit
Prince) 39-41"	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Marceau (rue)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Marcel (impasse)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Marcelin Berthelot (avenue)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Marguerite (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Maryse Bastié (allée)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Maurice (allée)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Merseburg (rue de)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Mesie (villa La)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Montesquieu (allée)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Mozart (allée)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Noise (impasse de la)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Orme aux chiens (sentier de l’)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Paix (avenue de la)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
n°39 (école Marcel Doret)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Paix (impasse de la)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Panorama (rue du)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Paris (avenue de)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur B	Secteur 4
Paroseaux (sentier des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Paroseaux (villa des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
"n°1, 3 et 25 (école Les Sablons)"	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Pasteur (rue)					
